alpha Size L_178
0.87      581   564e23             
0.68      210   332e25             
1.12      120   517e26             
0.93      250   108e26             
0.81      220   102e26             
0.94      400   553e24             
0.63      37    799e24             
0.66      158   297e24             
0.78      200   405e25             
1.06      148   156e24             
0.57      917   908e21             
0.76      293   395e23             
0.62      692   976e23             
1.06      350   223e25             
0.77      972   993e22             
0.51      190   206e25             
0.73      150   522e24             
0.75      11    108e26             
1.13      895   646e24             
0.98      430   148e25             
0.59      2     194e25             
0.65      8.1   122e25             
1.04      520   466e25             
0.77      580   254e24             
0.75      160   849e25             
0.50      304   221e22             
0.58      10    241e24             
0.80      440   840e25             
1.05      250   146e26             
0.77      129   254e22             
0.92      350   520e24             
0.62      624   339e22             
0.78      486   374e22             
0.78      190   875e22             
0.85      465   541e24             
0.84      392   115e24             
0.70      133   2148e24            
0.68      77.9  149e24             
0.46      6     376e25             
0.46      6     490e25             
0.66      38    293e24             
0.87      123   281e24             
0.86      753   130e25             
0.88      264   351e24             
0.98      380   412e25             
0.91      70    396e25             
1.0       61    146e26             
0.86      46    535e25             
0.68      390   399e23             
1.15      20    830e25             
0.77      1490  538e22             
0.93      20    101e26             
0.98      44    301e26             
0.79      231   155e23             
0.79      50    193e26             
0.84      143   717e24             
1.15      190   504e24             
1.08      300   654e25             
0.88      160   147e26             
0.90      92    229e25             
0.96      110   954e25             
0.92      86.6  729e25             
1.06      310   606e24             
0.77      110   338e25             
0.84      37    312e25             
0.81      562   294e24             
0.93      240   21e26              
0.75      71    246e25             
0.74      740   613e23             
0.94      30    25e26              
0.88      250   39e26              
0.85      1130  994e22             
1.0       300   231e25             
0.28      --    47e20              
0.86      347   256e24             
0.51      4530  295e23             
1.08      114   270e26             
0.87      340   29e26              
0.97      8     167e26             
0.82      290   109e25             
0.78      44    600e25             
0.61      107   190e25             
0.81      213   277e24             
1.03      470   653e25             
0.96      110   412e25             
0.82      350   220e25             
0.87      70    472e25             
0.75      173   220e22             
0.96      600   515e25             
1.01      46    920e25             
0.93      310   874e25             
0.59      370   685e25             
0.50      6.7   376e24             
0.80      87.7  898e25             
0.75      93    137e26             
0.60      11    31e21              
0.94      264   172e23             
0.79      71    34e23              
0.87      832   877e24             
0.96      100   194e25             
1.02      410   285e25             
0.81      110   931e25             
0.95      674.4 167e24             
0.95      270   152e23             
0.42      0.89  556e25             
0.24      30    475e25             
0.85      140   291e24             
0.81      93.7  441e25             
0.80      10e2  18e26              
0.45      228   514e22             
1.07      137   210e26             
0.63      40    499e25             
0.67      209   143e22             
0.65      57.5  424e24             
0.78      419   339e24             
0.76      120   500e23             
0.85      11.2  550e22             
0.53      20    591e25             
0.92      320   330e23             
0.95      434   342e23             
0.72      398.5 451e23             
0.78      10    139e26             
0.90      336   137e24             
0.60      550   26e24              
0.81      310   137e26             
0.90      93.8  105e26             
0.88      2010  350e23             
0.70      130   40e26              
0.71      380   255e25             
0.76      528   186e22             
0.86      370   110e25             
0.73      220   361e25             
0.85      430   656e24             
1.19      71.0  863e22             
0.73      340   209e25             
0.63      312   146e25             
0.37      2.0   353e25             
0.32      1.8   175e25             
0.72      19e2  12e23              
0.52      47    635e23             
0.27      130   972e24             
0.74      289   134e24             
0.73      380   515e24             
0.88      110   280e25             
1.02      610   626e25             
1.0       150   900e25             
0.81      12    108e26             
1.24      94.5  102e26             
0.71      11    930e25             
0.81      202   988e23             
0.59      207   135e23             
0.59      105   146e22             
0.70      85    429e23             
0.75      253   314e23             
0.71      78.2  200e24             
0.97      180   302e25             
0.98      130   210e26             
0.75      130   125e24             
0.86      380.1 202e24             
0.79      340   144e26             
0.88      98.3  100e25             
0.83      262   222e25             
0.96      320   23e23              
0.58      522   651e21             
0.78      428   754e23             
0.75      437   124e22             
0.90      10    190e26             
0.04      --    224e25             
0.71      25    115e25             
1.01      1170  757e24             
0.75      354   641e22             
0.96      651   996e25             
0.77      220   127e26             
